customerID,Booking,Week,Price,Promotion,Income,Gender
1,0,1,224,0,83.6,0
1,0,2,230,1,83.6,0
1,0,3,148,1,83.6,0
1,0,4,208,1,83.6,0
1,0,5,195,0,83.6,0
1,0,6,169,0,83.6,0
1,0,7,228,1,83.6,0
1,0,8,113,1,83.6,0
1,0,9,232,1,83.6,0
1,0,10,275,1,83.6,0
1,0,11,253,1,83.6,0
1,0,12,276,1,83.6,0
1,0,13,254,0,83.6,0
1,0,14,254,0,83.6,0
1,1,15,294,0,83.6,0
1,0,16,193,1,83.6,0
1,0,17,180,1,83.6,0
1,0,18,180,1,83.6,0
1,0,19,217,0,83.6,0
1,0,20,266,1,83.6,0
1,1,21,196,0,83.6,0
1,0,22,394,0,83.6,0
1,0,23,202,1,83.6,0
1,0,24,235,0,83.6,0
1,0,25,96,1,83.6,0
1,0,26,169,0,83.6,0
1,0,27,195,1,83.6,0
1,0,28,239,1,83.6,0
1,0,29,264,1,83.6,0
1,0,30,267,0,83.6,0
1,0,31,297,0,83.6,0
1,0,32,172,0,83.6,0
1,0,33,179,1,83.6,0
1,0,34,175,0,83.6,0
1,0,35,325,0,83.6,0
1,0,36,344,1,83.6,0
1,0,37,143,0,83.6,0
1,0,38,248,1,83.6,0
1,0,39,195,0,83.6,0
1,1,40,183,0,83.6,0
1,0,41,217,1,83.6,0
1,1,42,182,0,83.6,0
1,0,43,136,1,83.6,0
1,0,44,85,1,83.6,0
1,0,45,143,0,83.6,0
1,0,46,205,0,83.6,0
1,0,47,117,0,83.6,0
1,0,48,217,1,83.6,0
1,0,49,244,1,83.6,0
1,0,50,124,0,83.6,0
2,0,1,136,0,41,0
2,0,2,242,1,41,0
2,0,3,133,0,41,0
2,0,4,220,0,41,0
2,0,5,183,1,41,0
2,0,6,189,0,41,0
2,0,7,133,0,41,0
2,0,8,228,0,41,0
2,0,9,193,1,41,0
2,0,10,187,0,41,0
2,1,11,174,1,41,0
2,0,12,193,0,41,0
2,0,13,158,0,41,0
2,0,14,253,0,41,0
2,0,15,131,1,41,0
2,0,16,267,0,41,0
2,0,17,171,1,41,0
2,0,18,175,0,41,0
2,0,19,102,1,41,0
2,0,20,207,0,41,0
2,0,21,189,0,41,0
2,0,22,234,0,41,0
2,0,23,209,1,41,0
2,0,24,170,1,41,0
2,0,25,277,0,41,0
2,0,26,192,0,41,0
2,0,27,180,0,41,0
2,0,28,210,1,41,0
2,0,29,126,1,41,0
2,0,30,260,0,41,0
2,0,31,278,0,41,0
2,0,32,109,0,41,0
2,1,33,173,1,41,0
2,0,34,199,0,41,0
2,0,35,279,1,41,0
2,0,36,207,1,41,0
2,0,37,208,0,41,0
2,0,38,182,1,41,0
2,0,39,277,1,41,0
2,0,40,274,1,41,0
2,0,41,177,0,41,0
2,0,42,221,0,41,0
2,0,43,147,0,41,0
2,1,44,125,1,41,0
2,0,45,178,1,41,0
2,0,46,192,1,41,0
2,0,47,147,1,41,0
2,0,48,234,0,41,0
2,0,49,184,1,41,0
2,0,50,88,1,41,0
3,0,1,151,0,182,0
3,0,2,211,1,182,0
3,0,3,202,0,182,0
3,0,4,140,1,182,0
3,0,5,191,0,182,0
3,0,6,282,1,182,0
3,0,7,154,0,182,0
3,0,8,124,1,182,0
3,0,9,272,1,182,0
3,0,10,295,0,182,0
3,0,11,167,1,182,0
3,1,12,199,0,182,0
3,1,13,188,1,182,0
3,0,14,215,1,182,0
3,1,15,200,0,182,0
3,0,16,158,0,182,0
3,0,17,402,1,182,0
3,0,18,238,1,182,0
3,0,19,142,1,182,0
3,0,20,82,1,182,0
3,0,21,186,1,182,0
3,0,22,123,0,182,0
3,0,23,158,0,182,0
3,0,24,89,0,182,0
3,0,25,187,1,182,0
3,0,26,129,1,182,0
3,0,27,217,0,182,0
3,0,28,155,1,182,0
3,0,29,226,1,182,0
3,0,30,138,1,182,0
3,0,31,184,1,182,0
3,0,32,203,0,182,0
3,0,33,227,1,182,0
3,0,34,196,1,182,0
3,0,35,134,1,182,0
3,0,36,165,0,182,0
3,0,37,174,1,182,0
3,0,38,207,1,182,0
3,0,39,164,0,182,0
3,0,40,188,0,182,0
3,0,41,210,0,182,0
3,0,42,164,1,182,0
3,1,43,126,1,182,0
3,0,44,169,0,182,0
3,0,45,200,0,182,0
3,0,46,143,0,182,0
3,0,47,249,1,182,0
3,0,48,99,0,182,0
3,0,49,175,1,182,0
3,0,50,323,1,182,0
4,0,1,160,0,99.7,0
4,0,2,196,0,99.7,0
4,0,3,155,0,99.7,0
4,0,4,112,1,99.7,0
4,0,5,149,0,99.7,0
